year,region,country,Life_exp,BMI,Alcohol,HIV,Polio,Fertility
2000,Africa,Uganda,46.6,13,10.47,11.6,55,6.865
2000,Africa,Nigeria,47.1,16.9,9.23,4.9,31,6.106
2000,Africa,Gabon,61,28.1,8.87,9.5,44,4.539
2000,Africa,Seychelles,71.8,27.1,8.24,0.1,98,2.08
2000,Africa,South Africa,57.3,4.1,7.3,21.3,71,2.829
2000,Africa,Rwanda,48.3,13.2,7.13,8.5,9,5.64
2000,Africa,Burundi,58,12.8,6.61,5.2,71,7.008
2000,Africa,Namibia,57.4,24.5,5.73,22.8,8,4.018
2000,Africa,Botswana,47.8,29.9,5.37,38.8,97,3.387
2000,Africa,Sao Tome and Principe,62.6,2.7,5.07,1.5,87,5.278
2000,Americas,Bahamas,72.6,54.4,12.15,0.1,91,
2000,Americas,Saint Lucia,71.6,36.8,11.69,0.4,7,
2000,Americas,Grenada,74,37.7,9.4,0.1,97,2.582
2000,Americas,United States of America,76.8,6.1,8.21,0.1,9,
2000,Americas,Venezuela (Bolivarian Republic of),72.5,53.4,8.01,0.1,86,
2000,Americas,Argentina,74.1,54,7.68,0.1,88,2.561
2000,Americas,Canada,79.1,57.8,7.6,0.1,88,1.49
2000,Americas,Barbados,73.3,43,7.43,0.9,86,1.744
2000,Americas,Antigua and Barbuda,73.6,38.2,7.27,0.1,96,2.316
2000,Americas,Brazil,75,43.7,7.26,0.1,99,2.3
2000,Asia,Cyprus,78.1,52.8,9.56,0.1,97,1.716
2000,Asia,Japan,81.1,22.2,7.97,0.1,98,1.359
2000,Asia,Kazakhstan,63.9,43.9,6,0.1,96,1.8
2000,Asia,Thailand,71.1,18.7,5.88,0.8,97,1.671
2000,Asia,Lao People's Democratic Republic,58.1,12.3,5.16,0.1,57,
2000,Asia,Philippines,66.8,17.8,4.73,0.1,74,3.811
2000,Asia,Georgia,71.8,46,3.28,0.1,81,1.608
2000,Asia,China,71.7,2.5,3.06,0.1,86,1.497
2000,Asia,Turkmenistan,63.8,37.5,2.9,0.1,98,2.824
2000,Asia,Armenia,72,47.1,2.9,0.1,96,1.648
2000,Europe,Ireland,76.4,51.5,14.07,0.1,86,1.89
2000,Europe,France,78.8,54.6,13.63,0.1,98,1.89
2000,Europe,Czechia,74.7,59,13.22,0.1,98,
2000,Europe,Austria,78.1,5.1,13.2,0.1,71,1.36
2000,Europe,Luxembourg,77.8,54,13.14,0.1,99,1.76
2000,Europe,Belarus,68,54.4,12.98,0.1,99,1.317
2000,Europe,Germany,78,55.1,12.91,0.1,94,1.38
2000,Europe,Croatia,74.7,54.7,12.73,0.1,94,1.39
2000,Europe,Hungary,71.7,56.1,12.22,0.1,99,1.32
2000,Europe,Slovenia,76,51.2,11.9,0.1,93,1.26
2000,Oceania,Australia,79.5,58.2,10.17,0.1,9,1.756
2000,Oceania,New Zealand,78.6,58.9,8.91,0.1,82,1.98
2000,Oceania,Samoa,72,65.6,3,0.1,94,4.503
2000,Oceania,Micronesia (Federated States of),67,61.5,2.23,0.1,85,
2000,Oceania,Fiji,67.7,5.2,2.05,0.1,91,3.09
2000,Oceania,Tonga,71.6,65.5,1.24,0.1,91,4.25
2000,Oceania,Vanuatu,69,41.1,1.21,0.1,67,4.368
2001,Africa,Uganda,47.7,13.3,10.57,10.8,56,6.822
2001,Africa,Nigeria,47.4,17.3,9.58,5.1,36,6.083
2001,Africa,Gabon,59.8,28.7,9.29,10.1,44,4.46
2001,Africa,South Africa,56,4.9,7.38,24,71,2.792
2001,Africa,Seychelles,72,27.6,6.72,0.1,96,1.98
2001,Africa,Burundi,51.3,13,6.09,5.3,72,6.948
2001,Africa,Rwanda,48.6,13.7,5.72,8.1,76,5.543
2001,Africa,Botswana,46.7,3.5,5.48,37.2,97,3.286
2001,Africa,Namibia,56.5,25.1,5.09,23.9,79,3.926
2001,Africa,Equatorial Guinea,53.1,18.7,5.07,2.3,43,5.785
2001,Americas,Saint Lucia,71.8,37.3,12.03,0.3,99,
2001,Americas,Bahamas,72.9,55.2,11.64,0.2,98,
2001,Americas,Grenada,77,38.2,9.61,0.1,96,2.512
2001,Americas,United States of America,76.9,6.9,8.25,0.1,89,
2001,Americas,Venezuela (Bolivarian Republic of),72.5,54.1,8.05,0.1,87,
2001,Americas,Argentina,74,54.6,7.76,0.1,85,2.537
2001,Americas,Canada,79.4,58.5,7.6,0.1,88,1.505
2001,Americas,Antigua and Barbuda,73.8,38.9,7.51,0.1,99,2.305
2001,Americas,Barbados,73.4,43.8,7.38,0.7,93,1.746
2001,Americas,Brazil,71,44.5,7.13,0.1,99,2.232
2001,Asia,Cyprus,78.2,53.3,10.16,0.1,97,1.66
2001,Asia,Japan,81.5,22.5,8.03,0.1,81,1.33
2001,Asia,Thailand,71.2,19.4,5.92,0.8,97,1.641
2001,Asia,Kazakhstan,64.4,44.4,5.75,0.1,95,1.9
2001,Asia,Philippines,66.8,18.3,4.54,0.1,76,3.766
2001,Asia,Lao People's Democratic Republic,58.7,12.7,3.13,0.1,55,
2001,Asia,Mongolia,63.2,39.1,2.87,0.1,95,2.096
2001,Asia,Armenia,72.6,47.4,2.86,0.1,97,1.635
2001,Asia,China,72.2,21.2,2.84,0.1,86,1.508
2001,Asia,Georgia,73,46.5,2.76,0.1,83,1.589
2001,Europe,Ireland,77,52.2,14.27,0.1,84,1.94
2001,Europe,France,79,55.2,13.89,0.1,98,1.9
2001,Europe,Czechia,75.1,59.4,13.36,0.1,97,
2001,Europe,Hungary,72.3,56.6,13.18,0.1,99,1.31
2001,Europe,Croatia,74.9,55.2,13.15,0.1,94,1.46
2001,Europe,Luxembourg,78,54.6,12.89,0.1,99,1.66
2001,Europe,Germany,78.3,55.6,12.46,0.1,96,1.35
2001,Europe,Austria,78.6,5.6,12.4,0.1,83,1.33
2001,Europe,Portugal,76.9,5.9,12.22,0.1,96,1.45
2001,Europe,Denmark,77,52.8,11.56,0.1,97,1.74
2001,Oceania,Australia,79.9,59,9.53,0.1,91,1.739
2001,Oceania,New Zealand,78.5,59.6,8.75,0.1,82,1.97
2001,Oceania,Samoa,75,66.5,3.43,0.1,83,4.476
2001,Oceania,Micronesia (Federated States of),67.2,62,2.82,0.1,79,
2001,Oceania,Fiji,67.8,51.2,1.93,0.1,92,3.046
2001,Oceania,Tonga,71.8,66.2,1.35,0.1,91,4.236
2002,Africa,Seychelles,72.1,28.1,11.15,0.1,99,2.04
2002,Africa,Uganda,48.8,13.6,10.42,10,57,6.772
2002,Africa,Nigeria,47.7,17.8,9.61,5.3,4,6.06
2002,Africa,Gabon,59.7,29.2,8.34,10.7,44,4.389
2002,Africa,Rwanda,57,14.1,7.82,8,85,5.445
2002,Africa,South Africa,54.9,41.6,7.04,26.6,7,2.759
2002,Africa,Botswana,46,31.1,6.41,34.6,97,3.194
2002,Africa,Equatorial Guinea,53.5,19.1,6.01,2.9,44,5.731
2002,Africa,Burundi,51.5,13.3,5.98,5.2,74,6.887
2002,Africa,Sao Tome and Principe,63.1,21.7,5.8,1.4,92,5.174
2002,Americas,Saint Lucia,72,37.9,11.85,0.1,9,
2002,Americas,Bahamas,73.1,56,10.85,0.1,93,
2002,Americas,Grenada,79,38.8,10.71,0.1,98,2.455
2002,Americas,United States of America,77,61.7,8.33,0.1,9,
2002,Americas,Argentina,74.1,55.1,7.81,0.1,94,2.516
2002,Americas,Guyana,65.3,37.1,7.73,2.3,93,2.961
2002,Americas,Canada,79.5,59.3,7.7,0.1,88,1.52
2002,Americas,Barbados,73.5,44.6,7.59,0.8,86,1.749
2002,Americas,Antigua and Barbuda,74,39.5,7.21,0.1,93,2.288
2002,Americas,Brazil,71.4,45.3,7,0.1,99,2.163
2002,Asia,Cyprus,78.4,53.8,11.68,0.1,98,1.614
2002,Asia,Japan,81.8,22.9,7.87,0.1,89,1.32
2002,Asia,Kazakhstan,64.7,44.8,5.99,0.1,95,2
2002,Asia,Thailand,71.4,2.2,5.93,0.7,97,1.616
2002,Asia,Philippines,66.8,18.7,4.42,0.1,77,3.712
2002,Asia,Lao People's Democratic Republic,59.3,13.3,3.33,0.1,55,
2002,Asia,Kyrgyzstan,66.7,36.5,3.31,0.1,99,
2002,Asia,China,72.7,21.9,2.91,0.1,86,1.524
2002,Asia,Armenia,72.6,47.8,2.86,0.1,96,1.637
2002,Asia,Georgia,71.7,47,2.72,0.1,89,1.586
2002,Europe,Ireland,77.4,52.9,14.17,0.1,83,1.97
2002,Europe,France,79.2,55.8,13.78,0.1,97,1.88
2002,Europe,Czechia,75.3,59.9,13.47,0.1,97,
2002,Europe,Croatia,74.8,55.8,13.39,0.1,95,1.42
2002,Europe,Hungary,72.5,57.1,13.29,0.1,98,1.3
2002,Europe,Luxembourg,78.3,55.2,12.91,0.1,99,1.63
2002,Europe,Austria,78.7,51.2,12.5,0.1,82,1.39
2002,Europe,Spain,79.5,58.8,12.26,0.1,98,1.25
2002,Europe,Germany,78.4,56.1,12.25,0.1,97,1.34
2002,Europe,Belarus,67.2,55.3,12.23,0.1,99,1.24
2002,Oceania,Australia,79.9,59.6,9.84,0.1,92,1.756
2002,Oceania,New Zealand,78.7,6.3,9.13,0.1,84,1.89
2002,Oceania,Samoa,76,67.4,3.3,0.1,85,4.46
2002,Oceania,Micronesia (Federated States of),66.2,62.4,2.78,0.1,84,
2002,Oceania,Fiji,67.9,52.2,1.85,0.1,94,3.001
2002,Oceania,Tonga,71.9,67,1.51,0.1,85,4.221
2002,Oceania,Vanuatu,69.3,42.6,1.24,0.1,67,4.162
2002,Oceania,Solomon Islands,66.5,39.6,1.08,0.1,78,4.618
2003,Africa,Uganda,51,13.9,10.16,9.4,57,6.716
2003,Africa,Nigeria,48.1,18.3,9.75,5.4,42,6.036
2003,Africa,Seychelles,72.1,28.7,7.41,0.1,99,2.06
2003,Africa,Equatorial Guinea,53.8,19.5,7.13,3.6,46,5.675
2003,Africa,South Africa,54,42.2,6.93,28.9,7,2.729
2003,Africa,Rwanda,52,14.5,6.66,8.1,96,5.345
2003,Africa,Sao Tome and Principe,63.4,22.2,6.54,1.6,94,5.123
2003,Africa,Gabon,59.7,29.8,6.47,11,44,4.327
2003,Africa,Burundi,51.9,13.5,5.84,5.1,75,6.824
2003,Africa,Botswana,46.4,31.6,5.51,31.9,96,3.113
2003,Americas,Saint Lucia,72.2,38.4,12.55,0.2,91,
2003,Americas,Bahamas,73.2,56.7,10.68,0.1,93,
2003,Americas,Grenada,71.1,39.4,9.75,0.1,98,2.409
2003,Americas,United States of America,77.2,62.4,8.4,0.1,91,
2003,Americas,Guyana,65.3,37.8,7.93,2.1,91,2.924
2003,Americas,Canada,79.7,6,7.7,0.1,88,1.53
2003,Americas,Barbados,73.7,45.4,7.65,0.4,9,1.752
2003,Americas,Argentina,74.1,55.7,7.62,0.1,95,2.495
2003,Americas,Antigua and Barbuda,74.2,4.1,7.16,0.1,99,2.268
2003,Americas,Brazil,71.8,46.1,6.95,0.1,99,2.096
2003,Asia,Cyprus,78.5,54.3,10.62,0.1,98,1.576
2003,Asia,Japan,81.9,23.4,7.83,0.1,97,1.29
2003,Asia,Kazakhstan,64.4,45.3,6.58,0.1,99,2.03
2003,Asia,Thailand,71.7,2.9,6.14,0.6,98,1.595
2003,Asia,Philippines,67.2,19.2,4.44,0.1,85,3.65
2003,Asia,Kyrgyzstan,66.6,37,3.52,0.1,98,
2003,Asia,Lao People's Democratic Republic,59.8,13.8,3.41,0.1,52,
2003,Asia,Georgia,72.7,47.5,3.36,0.1,74,1.599
2003,Asia,Armenia,72.7,48.1,3.03,0.1,96,1.648
2003,Asia,China,73.1,22.6,2.96,0.1,87,1.54
2003,Europe,Portugal,77.3,52.5,14.21,0.1,96,1.44
2003,Europe,Croatia,74.7,56.3,13.78,0.1,95,1.41
2003,Europe,France,79.3,56.4,13.49,0.1,96,1.89
2003,Europe,Ireland,78,53.6,13.24,0.1,86,1.96
2003,Europe,Hungary,72.5,57.6,13.24,0.1,99,1.27
2003,Europe,Czechia,75.2,6.4,13.01,0.1,97,
2003,Europe,Luxembourg,78.6,55.8,12.61,0.1,99,1.62
2003,Europe,Austria,78.8,51.7,12.2,0.1,84,1.38
2003,Europe,Spain,79.4,59.3,12.09,0.1,99,1.3
2003,Europe,Germany,78.5,56.6,11.92,0.1,96,1.34
2003,Oceania,Australia,83,6.3,9.97,0.1,92,1.748
2003,Oceania,New Zealand,79.1,6.9,8.91,0.1,86,1.93
2003,Oceania,Samoa,79,68.2,4.17,0.1,82,4.454
2003,Oceania,Micronesia (Federated States of),67.5,62.8,3.15,0.1,88,
2003,Oceania,Tonga,72,67.8,1.79,0.1,91,4.202
2003,Oceania,Fiji,68,53.2,1.76,0.1,95,2.954
2003,Oceania,Vanuatu,69.4,43.3,1.2,0.1,67,4.056
2003,Oceania,Solomon Islands,66.8,4.4,1.18,0.1,84,4.578
2004,Africa,Uganda,51.3,14.2,9.89,8.9,58,6.653
2004,Africa,Nigeria,48.5,18.8,9.76,5.4,43,6.011
2004,Africa,Gabon,59.7,3.3,8.13,11.1,44,4.274
2004,Africa,Seychelles,72.1,29.2,7.91,0.1,99,2.01
2004,Africa,South Africa,53.7,42.9,6.96,29.7,73,2.702
2004,Africa,Rwanda,53.4,14.9,6.75,7.7,89,5.243
2004,Africa,Equatorial Guinea,54.1,19.8,6.28,4.4,48,5.618
2004,Africa,Sao Tome and Principe,63.8,22.8,5.78,1.6,99,5.072
2004,Africa,Burundi,52.6,13.8,5.72,4.8,76,6.759
2004,Africa,Botswana,48.1,32.2,4.9,28.4,96,3.043
2004,Americas,Saint Lucia,72.6,39,11.93,0.2,91,
2004,Americas,Bahamas,73.8,57.4,10.1,0.1,92,
2004,Americas,United States of America,77.5,63.1,8.48,0.1,92,
2004,Americas,Grenada,73,39.9,8.43,0.1,84,2.373
2004,Americas,Guyana,65.1,38.4,7.84,1.9,91,2.883
2004,Americas,Canada,80,6.6,7.8,0.1,91,1.53
2004,Americas,Barbados,73.8,46.2,7.68,0.2,93,1.755
2004,Americas,Argentina,74.7,56.3,7.63,0.1,91,2.474
2004,Americas,Venezuela (Bolivarian Republic of),73.3,55.9,7.55,0.1,83,
2004,Americas,Antigua and Barbuda,74.4,4.8,7.28,0.1,97,2.246
2004,Asia,Cyprus,78.6,54.8,13.03,0.1,98,1.545
2004,Asia,Japan,82.1,23.8,7.7,0.1,97,1.29
2004,Asia,Kazakhstan,64.7,45.8,6.55,0.1,99,2.21
2004,Asia,Thailand,71.6,21.7,6.17,0.5,98,1.58
2004,Asia,Philippines,67.3,19.6,4.45,0.1,85,3.579
2004,Asia,Armenia,73,48.4,3.81,0.1,93,1.665
2004,Asia,Georgia,72.3,48.1,3.74,0.1,66,1.625
2004,Asia,Lao People's Democratic Republic,64,14.4,3.53,0.2,46,
2004,Asia,Kyrgyzstan,67.1,37.5,3.41,0.1,98,
2004,Asia,China,73.5,23.4,3.04,0.1,87,1.554
2004,Europe,Estonia,72.3,55.2,15.07,0.1,95,1.47
2004,Europe,Portugal,78,53.3,13.45,0.1,95,1.4
2004,Europe,Ireland,78.3,54.4,13.32,0.1,89,1.93
2004,Europe,Hungary,72.9,58.2,13.28,0.1,99,1.28
2004,Europe,Czechia,75.8,6.8,13.24,0.1,96,
2004,Europe,France,82,57,13.18,0.1,99,1.92
2004,Europe,Croatia,75.4,56.9,13.11,0.1,96,1.43
2004,Europe,Luxembourg,78.7,56.4,12.42,0.1,99,1.66
2004,Europe,United Kingdom of Great Britain and Northern Ireland,78.8,6.1,12.22,0.1,92,
2004,Europe,Lithuania,71.6,58.1,12.1,0.1,9,1.27
2004,Oceania,Australia,86,6.9,9.84,0.1,92,1.768
2004,Oceania,New Zealand,79.2,61.5,9.15,0.1,87,1.98
2004,Oceania,Samoa,71.4,68.9,3.62,0.1,26,4.456
2004,Oceania,Micronesia (Federated States of),67.7,63.2,2.02,0.1,82,
2004,Oceania,Tonga,72.2,68.6,1.8,0.1,91,4.177
2004,Oceania,Fiji,68.1,54.2,1.63,0.1,96,2.907
2004,Oceania,Solomon Islands,67.1,41.3,1.18,0.1,89,4.54
2005,Africa,Uganda,53.2,14.5,10.09,8.7,59,6.583
2005,Africa,Nigeria,49.2,19.3,9.71,5.4,45,5.985
2005,Africa,South Africa,53.8,43.6,8.69,29.5,75,2.677
2005,Africa,Seychelles,72.2,3.1,7.82,0.1,99,2.2
2005,Africa,Gabon,65,3.8,7.72,10.9,44,4.23
2005,Africa,Equatorial Guinea,54.4,2.2,7.19,4.9,5,5.559
2005,Africa,Rwanda,55.3,15.4,7.01,7.1,95,5.135
2005,Africa,Botswana,51.7,32.7,6.37,20.6,96,2.987
2005,Africa,Burundi,53.4,14.1,5.54,4.3,82,6.69
2005,Africa,Sao Tome and Principe,64.3,23.4,5.27,1.6,97,5.022
2005,Americas,Saint Lucia,73.1,39.6,12.32,0.2,95,
2005,Americas,Bahamas,74.1,58.1,10.49,0.1,93,
2005,Americas,Grenada,71.5,4.5,8.8,0.1,99,2.344
2005,Americas,United States of America,77.5,63.8,8.52,0.1,92,
2005,Americas,Antigua and Barbuda,74.6,41.4,8.15,0.1,98,2.224
2005,Americas,Barbados,73.9,46.9,8.01,0.1,91,1.759
2005,Americas,Canada,81,61.3,8,0.1,93,1.54
2005,Americas,Venezuela (Bolivarian Republic of),73.6,56.5,7.92,0.1,8,
2005,Americas,Chile,78.4,57.4,7.57,0.1,92,1.982
2005,Americas,Argentina,74.9,56.9,7.53,0.1,95,2.452
2005,Asia,Cyprus,78.7,55.3,11.41,0.1,98,1.52
2005,Asia,Japan,82,24.4,7.99,0.1,95,1.26
2005,Asia,Kazakhstan,64.6,46.3,6.94,0.1,99,2.22
2005,Asia,Thailand,72.5,22.6,6.26,0.5,98,1.568
2005,Asia,Georgia,73.9,48.6,4.7,0.1,82,1.664
2005,Asia,Armenia,73,48.8,4.25,0.1,92,1.681
2005,Asia,Philippines,67,2.1,4.22,0.1,9,3.503
2005,Asia,Lao People's Democratic Republic,61,14.9,3.68,0.2,5,
2005,Asia,China,73.9,24.1,2.92,0.1,87,1.565
2005,Asia,Turkmenistan,63.3,4.7,2.85,0.1,99,2.654
2005,Europe,Estonia,72.8,55.5,15.52,0.1,96,1.52
2005,Europe,Portugal,77.7,54.1,13.33,0.1,93,1.41
2005,Europe,Ireland,78.7,55.1,13.31,0.1,9,1.86
2005,Europe,Czechia,75.9,61.3,13.19,0.1,96,
2005,Europe,Hungary,72.9,58.8,12.94,0.1,99,1.31
2005,Europe,Austria,79.4,52.7,12.4,0.1,86,1.41
2005,Europe,Lithuania,78,58.4,12.3,0.1,93,1.29
2005,Europe,Belgium,78.9,6.2,12.27,0.1,97,1.76
2005,Europe,France,81,57.5,12.2,0.1,98,1.94
2005,Europe,United Kingdom of Great Britain and Northern Ireland,79,6.7,12.05,0.1,91,
2005,Oceania,Australia,81,61.5,10.3,0.1,92,1.807
2005,Oceania,New Zealand,79.9,62.1,9.31,0.1,89,1.97
2005,Oceania,Samoa,71.6,69.7,3.63,0.1,55,4.46
2005,Oceania,Fiji,68.3,55.1,2.02,0.1,97,2.86
2005,Oceania,Micronesia (Federated States of),67.9,63.6,1.9,0.1,94,
2005,Oceania,Tonga,72.3,69.4,1.57,0.1,9,4.144
2006,Africa,Uganda,54.9,14.8,9.81,8.6,62,6.507
2006,Africa,Nigeria,49.8,19.9,9.66,5.3,46,5.958
2006,Africa,South Africa,54,44.3,8.5,28.1,79,2.655
2006,Africa,Seychelles,72.2,3.7,8.12,0.1,99,2.11
2006,Africa,Gabon,61.4,31.4,8.01,10.7,44,4.194
2006,Africa,Equatorial Guinea,54.8,2.5,7.28,5.3,52,5.498
2006,Africa,Rwanda,57.6,15.9,6.88,6.2,99,5.021
2006,Africa,Botswana,54.8,33.2,6.45,14.4,96,2.946
2006,Africa,Angola,47.7,18.2,5.84,2.5,36,6.42
2006,Africa,Sao Tome and Principe,64.7,24,5.46,1.2,97,4.974
2006,Americas,Saint Lucia,73.5,4.4,13.45,0.1,85,
2006,Americas,Bahamas,74.2,58.7,11.07,0.1,94,
2006,Americas,Grenada,71.7,41.1,9.06,0.1,91,2.321
2006,Americas,Antigua and Barbuda,74.8,42,8.93,0.1,99,2.203
2006,Americas,United States of America,77.8,64.4,8.63,0.1,93,
2006,Americas,Barbados,74.1,47.7,8.39,0.1,85,1.763
2006,Americas,Venezuela (Bolivarian Republic of),73.6,57.1,8.27,0.1,73,
2006,Americas,Canada,85,61.9,8.2,0.1,95,1.5862
2006,Americas,Argentina,75.2,57.5,7.75,0.1,92,2.432
2006,Americas,Chile,78.9,58.1,7.33,0.1,94,1.964
2006,Asia,Cyprus,78.8,55.8,11.47,0.1,97,1.498
2006,Asia,Japan,82.4,24.9,7.49,0.1,95,1.32
2006,Asia,Kazakhstan,65,46.8,7.08,0.1,99,2.36
2006,Asia,Thailand,73,23.6,6.18,0.5,98,1.561
2006,Asia,Georgia,73.9,49.2,6.18,0.1,89,1.712
2006,Asia,Philippines,67.3,2.6,4.08,0.1,88,3.425
2006,Asia,Armenia,72.9,49.2,4.01,0.1,87,1.694
2006,Asia,Lao People's Democratic Republic,61.5,15.5,3.69,0.2,56,
2006,Asia,China,74.2,24.9,3.28,0.1,94,1.572
2006,Asia,Mongolia,65,43,2.91,0.1,98,2.239
2006,Europe,Estonia,73,55.9,16.58,0.1,95,1.58
2006,Europe,Ireland,79,55.8,13.44,0.1,91,1.91
2006,Europe,Hungary,73.4,59.3,13.16,0.1,99,1.34
2006,Europe,Portugal,78.5,54.9,13.11,0.1,97,1.37
2006,Europe,Czechia,76.5,61.8,13.03,0.1,98,
2006,Europe,Lithuania,76,58.7,12.7,0.1,94,1.33
2006,Europe,Belarus,68.9,57.2,12.6,0.1,97,1.335
2006,Europe,France,86,58,12.4,0.1,99,2
2006,Europe,Austria,79.8,53.2,12.4,0.1,83,1.41
2006,Europe,Slovenia,78.1,54.7,12.26,0.1,97,1.31
2006,Oceania,Australia,81.2,62,10.31,0.1,92,1.908
2006,Oceania,New Zealand,79.9,62.6,9.34,0.1,89,2.01
2006,Oceania,Samoa,72,7.3,3.52,0.1,37,4.46
2006,Oceania,Fiji,68.5,55.9,2.06,0.1,98,2.816
2006,Oceania,Tonga,72.4,7.1,1.79,0.1,89,4.104
2006,Oceania,Micronesia (Federated States of),68,64.1,1.73,0.1,81,
2006,Oceania,Vanuatu,71,45.7,1,0.1,67,3.76
2007,Africa,Uganda,55.5,15.2,9.65,8.4,7,6.424
2007,Africa,Nigeria,55,2.4,9.55,5.2,54,5.93
2007,Africa,Gabon,61.6,31.9,9.02,10,78,4.164
2007,Africa,South Africa,54.5,45,8.48,26.4,79,2.636
2007,Africa,Seychelles,72.2,31.2,8.12,0.1,99,2.24
2007,Africa,Equatorial Guinea,55,2.9,6.86,5.9,54,5.433
2007,Africa,Rwanda,59.6,16.5,6.78,5,98,4.9
2007,Africa,Angola,48.2,18.8,6.35,2.6,75,6.368
2007,Africa,Botswana,56.9,33.7,6.21,13.4,96,2.918
2007,Africa,Cameroon,53.6,24.4,5.44,7,81,5.266
2007,Americas,Saint Lucia,73.9,41.3,12.68,0.1,99,
2007,Americas,Bahamas,74.4,59.4,10.75,0.1,95,
2007,Americas,Grenada,71.9,41.8,9.06,0.1,96,2.301
