year,region,life_exp
2000,Africa,55.01960784
2000,Americas,72.43333333
2000,Asia,68.97111111
2000,Europe,75.43513514
2000,Oceania,69.42
2001,Africa,55.54313726
2001,Americas,72.28787879
2001,Asia,69.58888889
2001,Europe,75.77027027
2001,Oceania,69.89
2002,Africa,55.95294118
2002,Americas,72.8030303
2002,Asia,69.43555556
2002,Europe,75.91351351
2002,Oceania,70.03
2003,Africa,55.75294118
2003,Americas,72.39090909
2003,Asia,69.72222222
2003,Europe,76.16756757
2003,Oceania,70.91
2004,Africa,56.2627451
2004,Americas,72.36060606
2004,Asia,69.87555556
2004,Europe,76.56486487
2004,Oceania,70.6
2005,Africa,57.5
2005,Americas,72.77878788
2005,Asia,70.20666667
2005,Europe,76.78378378
2005,Oceania,70.72
2006,Africa,57.7254902
2006,Americas,73.31212121
2006,Asia,70.67777778
2006,Europe,77.38648649
2006,Oceania,71.36
2007,Africa,58.33921569
2007,Americas,73.52121212
2007,Asia,70.93555556
2007,Europe,77.81621622
2007,Oceania,71.05
2008,Africa,59.33333333
2008,Americas,73.89393939
2008,Asia,71.07333333
2008,Europe,77.56486487
2008,Oceania,71.4
2009,Africa,60.09803922
2009,Americas,73.83333333
2009,Asia,71.67777778
2009,Europe,77.88918919
2009,Oceania,72.55
2010,Africa,60.30588235
2010,Americas,73.25757576
2010,Asia,71.85333333
2010,Europe,78.48378378
2010,Oceania,72.05
2011,Africa,60.7627451
2011,Americas,74.34545455
2011,Asia,72.16444444
2011,Europe,79.38378378
2011,Oceania,71.92
2012,Africa,61.58431373
2012,Americas,74.34545455
2012,Asia,72.32
2012,Europe,79.31621622
2012,Oceania,71.6
2013,Africa,62.48235294
2013,Americas,74.38787879
2013,Asia,72.42666667
2013,Europe,79.50810811
2013,Oceania,71.8
2014,Africa,62.33529412
2014,Americas,74.72424242
2014,Asia,72.67333333
2014,Europe,80.24864865
2014,Oceania,71.97
2015,Africa,62.81372549
2015,Americas,75.09090909
2015,Asia,72.92
2015,Europe,79.31891892
2015,Oceania,72.16